time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160115:1300,15.09,57.35,433,420.83,216,329.4,3.59,346,100476
20160115:1400,15.48,53.25,280,120.03,225,341.6,3.79,349,100457
20160115:1500,15.79,49.7,343,789.36,63,331,3.72,353,100476
20160115:1600,15.71,49.5,176,570.15,55,325,3.45,1,100516
20160115:1700,14.7,54.65,0,0,0,305.4,2.69,9,100594
20160115:1800,12.96,60.7,0,0,0,286.8,2.55,16,100663
20160115:1900,11.94,63.1,0,0,0,275.6,2.48,26,100741
20160115:2000,10.82,63.35,0,0,0,269.8,2.41,34,100800
20160115:2100,9.81,63.3,0,0,0,264.8,2.48,30,100859
20160115:2200,9.09,61.8,0,0,0,260,2.83,33,100928
20160115:2300,8.67,59.85,0,0,0,257,3.03,44,101036
20160116:0000,8.27,59.1,0,0,0,254.6,3.1,50,101017
20160116:0100,7.9,59.05,0,0,0,252,3.17,55,101007
20160116:0200,7.55,58.95,0,0,0,249.8,3.24,54,100997
20160116:0300,7.28,58.5,0,0,0,247.6,3.45,53,101026
20160116:0400,7.05,57.8,0,0,0,246.2,3.72,53,101017
20160116:0500,6.86,56.95,0,0,0,244.4,4,53,101007
20160116:0600,6.66,56.25,0,0,0,242,4.21,55,101026
20160116:0700,6.14,58.05,0,0,0,240,3.93,58,101036
20160116:0800,6.2,57.25,62,359.51,28,238.6,4.14,61,101095
20160116:0900,7.52,54.25,228,624.91,66,238.4,3.93,62,101085
20160116:1000,9.6,46.7,379,761.1,81,242.4,4.48,61,101115
20160116:1100,11.54,39.35,482,800.07,96,247.2,4.69,60,101125
20160116:1200,13.09,34.45,533,821.61,101,256.4,4.69,58,101056
20160116:1300,14.2,32.1,525,817.58,101,266.2,4.55,58,100967
20160116:1400,14.82,31.35,462,817.13,85,270.2,4.21,60,100909
20160116:1500,15.03,31.95,343,762.58,70,280.4,3.72,58,100879
20160116:1600,14.66,34.3,179,561.42,58,281.6,3.1,47,100859
20160116:1700,13.27,38.1,17,114.5,12,279.8,3.03,36,100889
20160116:1800,11.65,40.25,0,0,0,284.4,3.1,40,100918
20160116:1900,10.34,40.15,0,0,0,265.2,3.45,48,100958
20160116:2000,9.63,41.35,0,0,0,265.4,3.45,55,100967
20160116:2100,8.94,44.15,0,0,0,260,3.17,60,100987
20160116:2200,8.31,48.6,0,0,0,261.2,2.9,62,100977
20160116:2300,7.77,53.4,0,0,0,263.4,2.62,63,100987
20160117:0000,7.25,57.75,0,0,0,263.4,2.48,61,100958
20160117:0100,6.65,62.4,0,0,0,258,2.41,59,100938
20160117:0200,6.03,66.8,0,0,0,256.8,2.34,60,100899
20160117:0300,5.57,70.55,0,0,0,256.2,2.41,64,100899
20160117:0400,5.34,73.55,0,0,0,259.4,2.41,66,100859
20160117:0500,4.95,77.8,0,0,0,255.2,2.28,66,100820
20160117:0600,4.5,81.7,0,0,0,254.8,2.21,66,100800
20160117:0700,4.48,85.8,0,0,0,262.4,2.07,60,100820
20160117:0800,4.43,86.25,46,114.72,35,267.6,2,56,100889
20160117:0900,6.47,84.05,213,482.92,87,277.2,1.45,58,100909
20160117:1000,9.61,69.55,238,124.49,189,282.8,1.31,65,100938
20160117:1100,11.63,63.65,395,383.6,209,292.2,1.31,76,100909
20160117:1200,13.23,58.8,313,98.38,261,304.2,1.52,84,100771
20160117:1300,14.52,54.45,409,325.9,239,305.6,0.97,87,100653
20160117:1400,15.13,52.35,129,0,129,301.4,0.9,320,100565
20160117:1500,15.06,53,283,370.84,149,303,1.79,322,100555
20160117:1600,14.54,54.85,122,123.35,95,298,2.14,329,100555
20160117:1700,13.21,61,17,85.22,13,289.4,2,335,100594
20160117:1800,11.67,65.75,0,0,0,290.4,1.86,353,100624
